,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,marketcap,pricetobook,dividendyield,revenuegrowth,freecashflow,ebitda,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
820,1.1280000000000001,1454.0,84.0,5.0,2.2,1.819147199,1.657884983,1.5802598319999999,1.6749204949999998,1.513533209,2.012444,157216648222.0,5645106001.0,208.88490000000002,30534303632.0,32825600001.0,0.4636809247747852,60.35726965329032,12.206555615733702,6.291502622129181,3.449489742783178,1.0332328361583483,59.03788151906757
821,1.164,1561.0,81.0,2.0,1.0,1.792381554,1.662688115,1.592991566,1.701205493,1.536010737,2.186792,169017875892.0,42794506001.0,207.5663,35097903632.0,92884000001.0,0.3807886552931954,36.837480912787726,7.483314773547883,13.806248474865697,1.0,1.0457845476246552,140.2491731083132
822,1.184,1950.0,134.0,1.0,3.0,1.803378874,1.6577551590000001,1.5747248169999999,1.6963050769999999,1.510723555,2.126252,170576915798.0,45538506001.0,207.5242,35044903632.0,100653000001.0,0.425440947723653,43.01162633521314,9.591663046625438,11.246950765959598,3.0,1.0567795489585528,105.21769958730499
823,1.169,2143.0,140.0,1.0,3.0,1.801894583,1.6790904119999999,1.5885488269999999,1.721274044,1.500575291,2.147596,173106720858.0,49632506001.0,207.4614,35375903632.0,104278000001.0,0.3619392214170772,38.52272056851645,8.426149773176359,12.357816691600547,2.732050807568877,1.056258778585371,111.82517782368653
824,1.167,2044.0,122.0,1.0,3.0,1.802735848,1.661692782,1.597054448,1.703513024,1.5091859749999998,2.172533,174035729323.0,49348506001.0,207.5728,33205903632.0,107904000001.0,0.3646916505762094,47.32863826479693,10.535653752852738,9.426149773176359,2.0,1.029554929430242,80.11421339275508
825,1.1440000000000001,1833.0,77.0,6.0,2.375,1.820255563,1.660997762,1.589168875,1.713978103,1.5116485929999999,1.971858,156862093016.6,6600337001.0,207.2629,30330142632.0,32987316001.0,0.4427188724235731,64.42825467137845,14.177446878757825,12.045361017187261,4.3166247903554,1.0206357516248108,114.14942850984043
826,1.159,1.0,1.0,4.0,2.666666667,1.8165761109999998,1.6836663029999999,1.598129831,1.715396912,1.5248130739999999,1.924887,156773188619.6,7004668001.0,207.0686,30347318632.0,33122193001.0,0.40249223594996214,78.65748533992172,17.578395831246947,14.527749258468683,4.872983346207417,1.0,123.85166882319467
827,1.147,1554.0,77.0,3.0,2.428571429,1.81301044,1.642224958,1.564053738,1.691136826,1.4873134989999999,1.934421,156471907529.7,6393833001.0,207.0774,30388761632.0,32447748001.0,0.39749213828703583,38.262252939417984,6.082762530298219,7.4031242374328485,3.23606797749979,1.0362151414193932,87.28989551596008
828,1.215,994.0,65.0,1.0,3.0,1.7976204029999998,1.625036058,1.573797424,1.737111313,1.4825542870000001,1.925352,156359335078.7,6574495001.0,206.9469,30387854632.0,32545222001.0,0.39242833740697164,30.298514815086232,6.855654600401044,8.745966692414834,2.732050807568877,1.040203217401996,83.45340931484317
829,1.184,1660.0,120.0,3.0,1.6666666669999999,1.812258626,1.6462539550000002,1.605244269,1.748094684,1.508568109,1.944669,156430736755.7,5888581001.0,207.1859,30384330632.0,32362530001.0,0.37682887362833545,34.058772731852805,7.745966692414834,11.63014581273465,2.0,1.048686370290303,110.80786192710093
830,1.166,1365.0,62.0,5.0,2.111111111,1.820279065,1.599646279,1.5469273179999998,1.687397764,1.484778135,1.9394740000000001,156436708215.8,6007345001.0,207.1533,30385885632.0,32168832001.0,0.39496835316262996,31.04834939252005,6.708203932499369,13.767145334803704,3.23606797749979,1.0379664381016296,137.2573434142741
831,1.171,1200.0,64.0,2.0,2.6,1.8268415679999999,1.602108912,1.538776661,1.711256015,1.470316667,1.9460359999999999,156427077857.0,6192123001.0,207.0689,30385627632.0,31999660001.0,0.39496835316262996,32.32645975048923,7.54983443527075,12.704699910719626,3.0,1.0192789922466654,127.67255123440928
832,1.172,1.0,1.0,14.0,1.266666667,1.793947175,1.6592412429999999,1.59010751,1.68846264,1.5463505180000001,2.0207740000000003,175650853538.0,170046506001.0,206.5529,48580903632.0,20331000001.0,0.37416573867739417,44.81071300481616,8.18535277187245,13.0,2.414213562373095,1.0,128.12399233620823
833,1.149,1550.0,77.0,8.0,1.727272727,1.810453911,1.6796693029999998,1.5929443879999998,1.691604332,1.545210402,2.026691,163943991503.0,168046506001.0,206.5555,48391903632.0,27331000001.0,0.363318042491699,58.27520913733386,11.045361017187261,9.306623862918075,3.0,1.0220302776654193,98.43153321005154
834,1.127,1434.0,57.0,5.0,2.272727273,1.803879394,1.6676554160000001,1.573519765,1.700566052,1.517194336,2.106367,172394369564.0,248046506001.0,206.4589,52134903632.0,19183000001.0,0.35777087639996635,60.56401571890688,11.40175425099138,10.486832980505138,3.6457513110645907,1.021328321411468,102.95253040386835
835,1.114,1625.0,67.0,10.0,2.333333333,1.793019342,1.660244304,1.550977434,1.693874719,1.529548048,2.037546,156437970312.8,3260931001.0,210.7785,30298112632.0,31428120001.0,0.35916569992135944,61.180062111769715,12.206555615733702,9.426149773176359,5.242640687119285,1.0051340639437167,76.07301794020088
