CEO,Ticker,Sector,Quarter,Year,Date,CEOScore,AnalystScore,OtherExecScore,CEO_Word_Count,Analyst_Word_Count,OtherExec_Word_Count,CEO_Sent_Count,Analyst_Sent_Count,OtherExec_Sent_Count,CEO_Pos_Fin,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile
Luke Kissam,ALB,Materials,Q3,2011,10/25/2011 14:31,0.144,0.18,0.159,1362,608,4267,56,38,230,3,2,1.5,0.2,0.796862123,0.635703017,0.567554263,0.707087225,0.493527684,0.934481832,0.565159012,0.64462091,0.188564236,0.678710466
Luke Kissam,ALB,Materials,Q4,2011,1/24/2012 11:57,0.109,0.115,0.172,1306,1983,3476,53,75,156,4,4,1,0,0.822572903,0.660411041,0.569087257,0.70234009,0.501783822,0.989702608,0.756100305,0.657331782,0.158024383,0.72925278
Luke Kissam,ALB,Materials,Q1,2012,4/19/2012 10:58,0.141,0.118,0.19,1653,1752,2511,61,69,107,2,3,0.666666667,-0.2,0.804990904,0.647035696,0.54375993,0.709943459,0.478807117,0.961187402,0.658010689,0.435501212,0.208581538,0.580417655
Luke Kissam,ALB,Materials,Q3,2012,10/18/2012 15:06,0.148,0.126,0.195,3487,593,770,124,34,36,10,4,2.5,0.428571429,0.817049524,0.6511452,0.562326929,0.70286743,0.505345732,0.983916548,0.689752714,0.600134463,0.16124701,0.749761928
Luke Kissam,ALB,Materials,Q4,2012,1/23/2013 14:45,0.115,0.097,0.123,3147,716,1316,108,22,57,6,8,0.75,-0.142857143,0.81824312,0.639146924,0.546823232,0.676544191,0.514284145,0.985360733,0.594021182,0.462658757,0.049319319,0.797380944
Luther C. Kissam,ALB,Materials,Q1,2013,4/18/2013 14:30,0.112,0.081,0.149,4067,1836,249,197,81,16,3,10,0.3,-0.538461538,0.799245692,0.647402989,0.531236808,0.690593782,0.521566792,0.943481049,0.660897904,0.328874018,0.097129693,0.831847672
Luther C. Kissam,ALB,Materials,Q2,2013,7/18/2013 14:50,0.128,0.11,0.153,4355,1683,354,215,69,25,4,2,2,0.333333333,0.789155724,0.651025067,0.533496317,0.698172291,0.501530912,0.89771716,0.688843121,0.347385183,0.134049948,0.727765264
Luther C. Kissam,ALB,Materials,Q3,2013,10/17/2013 13:40,0.108,0.087,0.075,3277,1715,689,155,80,32,7,10,0.7,-0.176470588,0.802306717,0.643436985,0.5429025,0.696443871,0.516257743,0.953575934,0.62925546,0.427948297,0.124881308,0.807114762
Matthew Winter,ALL,Financials,Q2,2011,8/1/2011 14:50,0.119,0.126,0.129,420,2232,5857,26,103,284,1,0,inf,1,0.821310134,0.648421866,0.521341727,0.681721029,0.510082836,0.988570402,0.668857317,0.253098787,0.064096092,0.775706873
Matthew E. Winter,ALL,Financials,Q3,2011,11/1/2011 15:10,0.148,0.089,0.129,704,1737,6641,29,85,308,2,1,2,0.333333333,0.799445654,0.658252163,0.569586415,0.684412258,0.514528972,0.944189386,0.741354171,0.661433247,0.07303229,0.798604148
Matthew E. Winter,ALL,Financials,Q4,2011,2/2/2012 16:10,0.105,0.118,0.15,1510,5541,1429,66,241,53,2,1,2,0.333333333,0.816165347,0.632803386,0.583907796,0.69678867,0.507295621,0.982769532,0.540579238,0.769534727,0.126674442,0.760630006
Matthew E. Winter,ALL,Financials,Q1,2012,5/3/2012 9:00,0.15,0.112,0.162,3731,4043,1102,181,218,54,13,5,2.6,0.444444444,0.820024087,0.661296255,0.582070958,0.704678087,0.514077546,0.987307684,0.762012922,0.756833334,0.172635972,0.796345292
Matthew E. Winter,ALL,Financials,Q2,2012,8/1/2012 18:00,0.128,0.073,0.113,2762,1362,3437,102,55,145,8,6,1.333333333,0.142857143,0.812073527,0.64902639,0.553367955,0.711510141,0.492944876,0.976509642,0.673544301,0.521105128,0.220073805,0.674998207
Thomas J. Wilson,ALL,Financials,Q3,2012,11/1/2012 16:10,0.103,0.117,0.115,4110,2802,2229,216,115,108,13,19,0.684210526,-0.1875,0.812053278,0.675335505,0.569319463,0.726292826,0.548455867,0.976474441,0.844660927,0.659242113,0.344543211,0.924852181
Thomas J. Wilson,ALL,Financials,Q4,2012,2/7/2013 15:10,0.124,0.115,0.126,4171,1900,2279,213,100,95,2,15,0.133333333,-0.764705882,0.795177611,0.667082513,0.583413547,0.714596636,0.530226058,0.927478529,0.798662231,0.766154016,0.243745413,0.867596731
Don Civgin,ALL,Financials,Q1,2013,5/2/2013 9:00,0.22,0.106,0.127,738,1860,6154,33,92,272,0,1,0,-1,0.827233517,0.625612254,0.622896949,0.6929952,0.493743204,0.993078462,0.479149659,0.946415571,0.107918253,0.680078762
Don Civgin,ALL,Financials,Q2,2013,8/1/2013 16:40,0.122,0.113,0.122,877,1900,6440,49,88,322,4,0,inf,1,0.813338504,0.652954908,0.562086573,0.682352826,0.527659287,0.978622484,0.703312088,0.598052272,0.066113562,0.857593428
Frank S. Hermance,AME,Industrials,Q4,2013,1/29/2014 11:40,0.158,0.088,0.256,3486,1161,124,166,55,14,8,5,1.6,0.230769231,0.823934109,0.652394363,0.587944279,0.674643864,0.527261648,0.990812336,0.699141203,0.796100107,0.044632172,0.855999163
Sean Healey,AMG,Financials,Q2,2011,7/26/2011 17:21,0.185,0,0.121,3034,0,2033,171,0,86,4,4,1,0,0.818850849,0.643980765,0.610392645,0.710162554,0.514576188,0.98605218,0.633651804,0.908377917,0.210167082,0.798839535
